alert_id,IncidentId,Timestamp,source_row_number,processed_row_number
LIVE-0001,436875,2024-06-02T02:34:27.000Z,135358,117902
LIVE-0002,148906,2024-06-03T07:45:04.000Z,95246,84717
LIVE-0003,142736,2024-06-03T12:23:20.000Z,10583,10316
LIVE-0004,460687,2024-06-03T19:51:01.000Z,400067,325804
LIVE-0005,127146,2024-06-04T09:14:52.000Z,112734,99298
LIVE-0006,163256,2024-06-04T11:49:05.000Z,107413,94921
LIVE-0007,453966,2024-06-04T18:58:44.000Z,416753,338472
LIVE-0008,272003,2024-06-04T19:32:52.000Z,136049,118484
LIVE-0009,59527,2024-06-04T20:55:23.000Z,1535,1532
LIVE-0010,26987,2024-06-04T21:35:46.000Z,215013,182118
LIVE-0011,111150,2024-06-05T00:40:13.000Z,99864,88632
LIVE-0012,38752,2024-06-05T11:32:19.000Z,11560,11241
LIVE-0013,445762,2024-06-05T19:07:08.000Z,291090,242050
LIVE-0014,410017,2024-06-06T07:15:14.000Z,439474,355758
LIVE-0015,521690,2024-06-06T17:52:10.000Z,189968,162104
LIVE-0016,368136,2024-06-07T16:33:28.000Z,218767,185119
LIVE-0017,13482,2024-06-07T20:32:15.000Z,181266,155153
LIVE-0018,24808,2024-06-07T21:36:15.000Z,135413,117951
LIVE-0019,7328,2024-06-08T03:47:18.000Z,181656,155467
LIVE-0020,137286,2024-06-08T22:05:03.000Z,339090,279127
LIVE-0021,163078,2024-06-09T02:30:04.000Z,409680,333077
LIVE-0022,75437,2024-06-09T21:11:30.000Z,226784,191453
LIVE-0023,18988,2024-06-10T00:35:02.000Z,214581,181769
LIVE-0024,198310,2024-06-10T13:00:59.000Z,365500,299394
LIVE-0025,57925,2024-06-10T13:12:47.000Z,450182,363898
LIVE-0026,98358,2024-06-11T18:24:55.000Z,222026,187713
LIVE-0027,3004,2024-06-11T18:30:54.000Z,14123,13662
LIVE-0028,376096,2024-06-11T20:44:25.000Z,263978,220866
LIVE-0029,29060,2024-06-12T06:24:33.000Z,162843,140341
LIVE-0030,259783,2024-06-12T07:49:33.000Z,351362,288534
LIVE-0031,305410,2024-06-12T16:20:45.000Z,180414,154466
LIVE-0032,123484,2024-06-12T19:37:41.000Z,345843,284340
LIVE-0033,166297,2024-06-13T04:06:07.000Z,117319,103102
LIVE-0034,6005,2024-06-13T10:50:01.000Z,2144,2137
LIVE-0035,306110,2024-06-13T14:56:55.000Z,191701,163471
LIVE-0036,34942,2024-06-13T15:13:26.000Z,346813,285097
LIVE-0037,232778,2024-06-14T08:34:05.000Z,290119,241293
LIVE-0038,61676,2024-06-14T10:50:09.000Z,414726,336919
LIVE-0039,306774,2024-06-14T17:50:20.000Z,205369,174458
LIVE-0040,130575,2024-06-14T17:55:12.000Z,231219,194993
