alert_id,IncidentId,Timestamp,Category,MitreTechniques,IncidentGrade,ActionGrouped,ActionGranular,EntityType,EvidenceRole,ThreatFamily,OSFamily,SuspicionLevel,LastVerdict
LIVE-0001,436875,2024-06-02T02:34:27.000Z,CredentialAccess,T1110;T1110.003;T1110.001,TruePositive,Unknown,Unknown,User,Impacted,Unknown,5,Unknown,Unknown
LIVE-0002,148906,2024-06-03T07:45:04.000Z,CommandAndControl,Unknown,BenignPositive,Unknown,Unknown,Url,Related,Unknown,5,Suspicious,Suspicious
LIVE-0003,142736,2024-06-03T12:23:20.000Z,SuspiciousActivity,Unknown,BenignPositive,Unknown,Unknown,Process,Related,Unknown,5,Suspicious,Suspicious
LIVE-0004,460687,2024-06-03T19:51:01.000Z,SuspiciousActivity,Unknown,TruePositive,Unknown,Unknown,CloudApplication,Impacted,Unknown,5,Unknown,Unknown
LIVE-0005,127146,2024-06-04T09:14:52.000Z,InitialAccess,Unknown,TruePositive,Unknown,Unknown,CloudLogonRequest,Related,Unknown,5,Unknown,Unknown
LIVE-0006,163256,2024-06-04T11:49:05.000Z,InitialAccess,T1566,BenignPositive,Unknown,Unknown,MailMessage,Related,Unknown,5,Unknown,NoThreatsFound
LIVE-0007,453966,2024-06-04T18:58:44.000Z,Exfiltration,Unknown,BenignPositive,Unknown,Unknown,MailMessage,Impacted,Unknown,5,Unknown,Unknown
LIVE-0008,272003,2024-06-04T19:32:52.000Z,Exfiltration,Unknown,TruePositive,Unknown,Unknown,User,Impacted,Unknown,5,Unknown,Unknown
LIVE-0009,59527,2024-06-04T20:55:23.000Z,InitialAccess,T1566.002,BenignPositive,Unknown,Unknown,MailCluster,Related,Unknown,5,Unknown,Malicious
LIVE-0010,26987,2024-06-04T21:35:46.000Z,CommandAndControl,Unknown,BenignPositive,Unknown,Unknown,Url,Related,Unknown,5,Suspicious,Suspicious
LIVE-0011,111150,2024-06-05T00:40:13.000Z,InitialAccess,Unknown,FalsePositive,Unknown,Unknown,CloudLogonRequest,Related,Unknown,5,Unknown,Unknown
LIVE-0012,38752,2024-06-05T11:32:19.000Z,InitialAccess,T1566.001,TruePositive,Unknown,Unknown,File,Related,Unknown,5,Unknown,Unknown
LIVE-0013,445762,2024-06-05T19:07:08.000Z,Execution,Unknown,BenignPositive,Unknown,Unknown,File,Related,Unknown,5,Unknown,Unknown
LIVE-0014,410017,2024-06-06T07:15:14.000Z,InitialAccess,T1078;T1078.004,FalsePositive,Unknown,Unknown,CloudLogonRequest,Related,Unknown,5,Unknown,Unknown
LIVE-0015,521690,2024-06-06T17:52:10.000Z,InitialAccess,Unknown,BenignPositive,Unknown,Unknown,Mailbox,Impacted,Unknown,5,Unknown,Unknown
LIVE-0016,368136,2024-06-07T16:33:28.000Z,Exfiltration,Unknown,FalsePositive,Unknown,Unknown,Ip,Related,Unknown,5,Unknown,Unknown
LIVE-0017,13482,2024-06-07T20:32:15.000Z,CredentialAccess,T1003;T1005;T1119;T1539;T1550.004;T1552.001;T1555.003;T1555.004,TruePositive,Unknown,Unknown,User,Impacted,Unknown,5,Suspicious,Suspicious
LIVE-0018,24808,2024-06-07T21:36:15.000Z,Exfiltration,Unknown,BenignPositive,Unknown,Unknown,MailMessage,Impacted,Unknown,5,Unknown,Unknown
LIVE-0019,7328,2024-06-08T03:47:18.000Z,InitialAccess,T1566.002,BenignPositive,Unknown,Unknown,Url,Related,Unknown,5,Unknown,NoThreatsFound
LIVE-0020,137286,2024-06-08T22:05:03.000Z,InitialAccess,T1566.002,TruePositive,Unknown,Unknown,Url,Related,Unknown,5,Unknown,NoThreatsFound
LIVE-0021,163078,2024-06-09T02:30:04.000Z,SuspiciousActivity,Unknown,BenignPositive,Unknown,Unknown,CloudApplication,Impacted,Unknown,5,Unknown,Unknown
LIVE-0022,75437,2024-06-09T21:11:30.000Z,Exfiltration,Unknown,BenignPositive,Unknown,Unknown,File,Impacted,Unknown,5,Unknown,Unknown
LIVE-0023,18988,2024-06-10T00:35:02.000Z,Exfiltration,Unknown,BenignPositive,Unknown,Unknown,MailMessage,Impacted,Unknown,5,Unknown,Unknown
LIVE-0024,198310,2024-06-10T13:00:59.000Z,InitialAccess,T1566,TruePositive,Unknown,Unknown,MailMessage,Related,Unknown,5,Unknown,NoThreatsFound
LIVE-0025,57925,2024-06-10T13:12:47.000Z,InitialAccess,T1566.002,TruePositive,Unknown,Unknown,Url,Related,Unknown,5,Unknown,Malicious
LIVE-0026,98358,2024-06-11T18:24:55.000Z,Exfiltration,Unknown,BenignPositive,Unknown,Unknown,File,Impacted,Unknown,5,Unknown,Unknown
LIVE-0027,3004,2024-06-11T18:30:54.000Z,Execution,T1021.003;T1047,BenignPositive,Unknown,Unknown,Ip,Related,Unknown,5,Suspicious,Suspicious
LIVE-0028,376096,2024-06-11T20:44:25.000Z,Exfiltration,Unknown,BenignPositive,Unknown,Unknown,Ip,Related,Unknown,5,Unknown,Unknown
LIVE-0029,29060,2024-06-12T06:24:33.000Z,CommandAndControl,T1071;T1571,BenignPositive,Unknown,Unknown,Ip,Related,Unknown,5,Unknown,Unknown
LIVE-0030,259783,2024-06-12T07:49:33.000Z,Exfiltration,Unknown,BenignPositive,Unknown,Unknown,User,Impacted,Unknown,5,Unknown,Unknown
LIVE-0031,305410,2024-06-12T16:20:45.000Z,CommandAndControl,Unknown,BenignPositive,Unknown,Unknown,User,Impacted,Unknown,5,Suspicious,Suspicious
LIVE-0032,123484,2024-06-12T19:37:41.000Z,InitialAccess,T1566.002,FalsePositive,Unknown,Unknown,MailCluster,Related,Unknown,5,Unknown,Suspicious
LIVE-0033,166297,2024-06-13T04:06:07.000Z,InitialAccess,Unknown,TruePositive,Unknown,Unknown,User,Impacted,Unknown,5,Unknown,Unknown
LIVE-0034,6005,2024-06-13T10:50:01.000Z,Exfiltration,Unknown,BenignPositive,Unknown,Unknown,MailMessage,Impacted,Unknown,5,Unknown,Unknown
LIVE-0035,306110,2024-06-13T14:56:55.000Z,CommandAndControl,Unknown,BenignPositive,Unknown,Unknown,User,Impacted,Unknown,5,Suspicious,Suspicious
LIVE-0036,34942,2024-06-13T15:13:26.000Z,InitialAccess,T1566.002,BenignPositive,Unknown,Unknown,User,Impacted,Unknown,5,Unknown,Unknown
LIVE-0037,232778,2024-06-14T08:34:05.000Z,SuspiciousActivity,Unknown,BenignPositive,Unknown,Unknown,Ip,Related,Unknown,5,Suspicious,Suspicious
LIVE-0038,61676,2024-06-14T10:50:09.000Z,SuspiciousActivity,Unknown,TruePositive,Unknown,Unknown,Machine,Impacted,Unknown,5,Suspicious,Suspicious
LIVE-0039,306774,2024-06-14T17:50:20.000Z,CommandAndControl,Unknown,BenignPositive,Unknown,Unknown,Process,Related,Unknown,5,Suspicious,Suspicious
LIVE-0040,130575,2024-06-14T17:55:12.000Z,SuspiciousActivity,Unknown,BenignPositive,Unknown,Unknown,CloudApplication,Impacted,Unknown,5,Unknown,Unknown
